ocid,buyer_name,tender_title,bid_opening_address,district_procuring,district_execution,true_district
ocds-f5kvwu-2023_PWBNH_30339_1,Public Works Building and NH Department,"Arrangement of Temporary Pandal, Dias, Barricading, Branding, Temporary V.V.I.P and V.I.P Toilets etc. in connection with Inauguration Ceremony of All India Institute of Medical Science, Guwahati (Group-4)","O/o the SE, PWD Guwahati Building Circle-II Ghy-3",Kamrup Metropolitan,Kamrup Metropolitan,
ocds-f5kvwu-2021_PWD_20362_1,Public Works Roads Department,Sonai Gaon to Matigog Village Rd,"O/o the Chief Engineer, PWD(Roads), Assam",Kamrup Metropolitan,,
ocds-f5kvwu-2020_PWBNH_18778_1,Public Works Building and NH Department,"Up-gradation of existing Degree College to Model Degree College at Lumding, Hojai district under RUSA 2.0 Component (New Construction of Class Room Building and Renovation / Up-gradation works)","O/O The CE, PWD (Bldg), Assam, Chandmari, Ghy-3",Kamrup Metropolitan,Hojai,
ocds-f5kvwu-2022_GMC_24834_1,Guwahati Municipal Corporation,Lease settlement of the Goat Market at Juripar (ALPCO,"Guwahati Municipal Corporation, Panbazar, Guwahati",Kamrup Metropolitan,Kamrup Metropolitan,
ocds-f5kvwu-2021_BoTC_21466_1,Bodoland Territorial Council,DPRD/BTC/SOPD-69/2021/12,Director PNRD BTC Kokrajhar,Kokrajhar,,
ocds-f5kvwu-2021_BoTC_21153_1,Bodoland Territorial Council,DPRD/BTC/SOPD-67/2021/25,Director pNRD BTC Kokrajhar,Kokrajhar,,
ocds-f5kvwu-2021_BoTC_20547_1,Bodoland Territorial Council,Construction of new road from UT Road ABWWF Office to No.4 Paneri under State Govt. Goodwill Project under SOPD-G for the year 2020-21.,"O/o the SE, PWD (R and B) Circle, Kokrajhar",Kokrajhar,,
ocds-f5kvwu-2023_BoTC_28990_1,Bodoland Territorial Council,Construction of Lined canal of Huduma FIS under PMKSY-HKKP (BTC) for the year 2021-22,Kokrajhar,Kokrajhar,,
ocds-f5kvwu-2021_DoWR_20054_1,Department of Water Resources,Restoration of spur No III at Kokilamukh area,Dibrugarh,Dibrugarh,,
ocds-f5kvwu-2022_ICD_26782_1,Industries and Commerce Department,GAS METER TEST BENCH CALIBRATION FACILITY,Duliajan,Dibrugarh,,
ocds-f5kvwu-2022_PCCF_28465_1,Pr. Chief Conservator of Forest and Head of Forest Force,Construction of Culvert,"DFO Office, Dibrugarh",Dibrugarh,,
ocds-f5kvwu-2023_ICD_29529_2,Industries and Commerce Department,GEOTECHNICAL INVESTIGATION AND TOPOGRAPHIC SURVEY,"DNP Ltd, Duliajan",Dibrugarh,,
ocds-f5kvwu-2022_GAD_27458_1,General Administration Department,"Improvement of existing playground at Maskhal Uloi Punjee, Boali GP, under Binakandi Block","O/O The Deputy Commissioner Cachar, Silchar",Cachar,,
ocds-f5kvwu-2020_PWD_19137_4,Public Works Roads Department,SE/HKD/SOPD-G/20-21/4,"O/o The SE, PWD(Roads) Cachar Circle, Silchar.",Cachar,,
ocds-f5kvwu-2022_IWT_27637_10,Inland Water Transport,"LEASING OUT OF NARAYANPUR FERRY SERVICES , SILCHAR","O/O The IWT, Silchar",Cachar,Cachar,
ocds-f5kvwu-2022_DoWR_24917_1,Department of Water Resources,"Immediate measures to Dyke along L/B of Borak from Uttarkrishnapur to Tarapur (Railway Gap-portion) at New Colony, Tarapur under SDRF for the year 2021-22.",SILCHAR,Cachar,,
ocds-f5kvwu-2021_PWD_19891_1,Public Works Roads Department,TRC/SOPD-G/BIS/01,"SUPERINTENDING ENGINEER, PWD, TEZPUR ROAD CIRCLE",Sonitpur,,
ocds-f5kvwu-2021_PWBNH_21371_1,Public Works Building and NH Department,Construction of Girls Hostel at Tezpur,"O/O The SE P.W.D., Tezpur Building Circle, Tezpur",Sonitpur,Sonitpur,
ocds-f5kvwu-2021_PWD_20389_3,Public Works Roads Department,Reconstruction of Bethanijar road,"SUPERINTENDING ENGINEER, PWD, TEZPUR ROAD CIRCLE",Sonitpur,,
ocds-f5kvwu-2021_HB_23240_1,Home B,SUPPLY OF NON DIETARY ARTICLES,SUPERINTENDENT CENTRAL JAIL TEZPUR,Sonitpur,,
ocds-f5kvwu-2022_AAU_27971_1,Assam Agricultural University,Construction of RCC G plus 2 Scientists Quarters at SRS Buralikson,O/o DPP AAU JORHAT,Jorhat,,
ocds-f5kvwu-2023_PWBNH_30207_1,Public Works Building and NH Department,Construction of District vaccine store DVS under Additional Chief Medical and Health office FW Jorhat which will be built in the campus of Joint Director of Health Services FW Assam for universal Immunization programme VIP during the year 2022 2023,"O/O SE, PWD, Jorhat Building Circle, Jorhat",Jorhat,Jorhat,
ocds-f5kvwu-2021_PWBNH_20877_1,Public Works Building and NH Department,Construction of additional classroom by strengthening Senairam Girls Higher Secondary School Tinsukia under NESIDS during 2020 2021,"O/O SE, PWD, JBC, Jorhat",Jorhat,Tinsukia,
ocds-f5kvwu-2022_PWBNH_25340_1,Public Works Building and NH Department,117 Tea Garden Schools and The Development of their Infrastructure Addl Classrooms Laboratories etc at various places of Assam 7 nos at Jorhat Dist and 8 nos at Golaghat Dist Group5 1 Bukhial T E 2 Behora T E 3 Hatikhuli T E Golaghat,"O/O SE, PWD, Jorhat Building Circle, Jorhat",Jorhat,Golaghat,
ocds-f5kvwu-2023_GAD_28754_1,General Administration Department,Design-Build-Operate-Transfer of a 10 KLD FSTP with MBBR Technology for 3 years in North Lakhimpur.,North Lakhimpur Municipal Board,Lakhimpur,Lakhimpur,
ocds-f5kvwu-2022_PWBNH_27207_1,Public Works Building and NH Department,Addl Construction of Model Tea Garden Siajuli,O/o EE PWD Building Lakhimpur,Lakhimpur,,
ocds-f5kvwu-2022_PWD_28462_2,Public Works Roads Department,Treatment and Processing of Legacy Waste for Bihpuria Municipal Board under the award of 15th FC 1st Installment of Tied Grant for the year 2020 21 during the year 2021 22,Lakhimpur,Lakhimpur,Lakhimpur,
ocds-f5kvwu-2022_GAD_27621_1,General Administration Department,Construction of EPC Mode of Indoor Sports Complex in North Lakhimpur,North Lakhimpur,Lakhimpur,Lakhimpur,
ocds-f5kvwu-2023_HB_29804_2,Home B,"Supply of Dietary/ Non Dietary articles for theDistrict Jail Tinsukia and District Jail, Sadiya of Assam during the Financial Year 2023-24",O/O of the Superintendent District Jail Tinsukia,Tinsukia,Tinsukia,
ocds-f5kvwu-2021_HB_21652_5,Home B,"Supply of Dietary/ Non Dietary articles for theDistrict Jail Tinsukia and District Jail, Sadiya of Assam during the Financial Year 2021-22 for Group E",O/o the Superientendent District jail Tinsukia,Tinsukia,Tinsukia,
ocds-f5kvwu-2023_ID_30341_1,Irrigation Department,Construction of MDTW Solar Power Scheme at Bhitor Rongdoi (1 point) under RIDF-XXVIII for the year 2022-23,"O/O EE, Sadiya Doomdooma Div (I)",Tinsukia,,
ocds-f5kvwu-2021_PCCF_22434_1,Pr. Chief Conservator of Forest and Head of Forest Force,25 ha. Afforestation Plantation,"O/o the DFO, Tinsukia Wildlife Division, Tinsukia.",Tinsukia,,
ocds-f5kvwu-2023_PWD_29145_1,Public Works Roads Department,Construction of Car parking area by providing ICBP from Bishnu Mandir to Dhemaji Court field including Cross Drainage and Boulder protection work under SOPD-G for the year 2022-23 in Dhemaji District,"Office of the Superintending Engineer, PWD, DRC",Dhemaji,Dhemaji,
ocds-f5kvwu-2023_UDD_28763_1,Urban Development Department,Selection of Concessionaire for Design-Build-Operate-Transfer of a 5 KLD FSTP for 3 years in Dhemaji City,"Office of the Dhemaji Municipal Board, Ward No.03,",Dhemaji,Dhemaji,
ocds-f5kvwu-2020_WPTBC_19606_1,Welfare of Plain Tribes and Backward Classes,Supply of cotton yarn,"Gogamukh, Dhemaji",Dhemaji,,
ocds-f5kvwu-2023_HB_29852_1,Home B,"Supply for dietary articles under Gr.A, District Jail, Dhemaji","District Jail, Dhemaji",Dhemaji,Dhemaji,
ocds-f5kvwu-2023_UDD_29416_1,Urban Development Department,Selection of concessionaire for Design Build Operate Transfer of a 10 KLD FSTP for 3 Years office and maintenance in Nalbari Town.,"NMB, Nalbari",Nalbari,Nalbari,
ocds-f5kvwu-2021_PCCF_20738_1,Pr. Chief Conservator of Forest and Head of Forest Force,Roadside Plantation (Avenue and Median) of National Highway Along NH 31 (C) (New 27) Stretch From 1093 Km to 1083 of AS-05,"Office of the DFO,Nalbari SF Division,Nalbari",Nalbari,,
ocds-f5kvwu-2022_PWBNH_28276_1,Public Works Building and NH Department,repair renovation of gr ii judicial officers qtr civil judge and asstt session judge secretary dlsa addl cjm bongaigaon sdjm munsiff and cjm qtr bongaigaon painting of dj bunglow including security barrack and fixation of mosq net,"O/o the SE PWD Nalbari Building Circle, Nalbari",Nalbari,Bongaigaon,
ocds-f5kvwu-2022_PWD_25099_1,Public Works Roads Department,"Construction of approach road to ITI (Women woks) in the premises of ITI, Nalbari for the year 2021-22",Nalbari District Territorial Road Division,Nalbari,Nalbari,
ocds-f5kvwu-2021_PWD_21135_5,Public Works Roads Department,"Improvment of met. Lepai Mothadang Ali in PWRD Sivasagar and Thowra Territorial Road Division under SOPD-G for the year 2020-21, Sivasagar LAC Pkg.No. SOPD-G/20-21/STTRD/Siv/05",O/O SE PWD JRC,Unclassified,Sivasagar,
ocds-f5kvwu-2021_PWD_20327_1,Public Works Roads Department,KAM/GRC/SOPD(G)/ 2020-21/66.,Online,Unclassified,,
ocds-f5kvwu-2020_PWD_19807_1,Public Works Roads Department,Construction of road at i) Jayantipur village (Ch. 0.00 to 835.00 m) ii) Madhab Gaon village (Ch. 0.00 to 175.00 m) under SOPD-G for the year 2020-21,SE PWD NRC,Unclassified,,
ocds-f5kvwu-2021_BTC_20702_1,Bodoland Territorial Council-PWD,TN_17_30,"O/o the Addl. Chief Engineer cum Director, PWD,",Unclassified,,
ocds-f5kvwu-2023_BTC_29602_1,Bodoland Territorial Council-PWD,Repairing and Renovation of Goreswar Revenue Circle Office at Goreswar under Revenue Deptt. (BTC) for the year 2022-23.PKG NO.104_5,"O/o the Addl. Chief Engineer, PWD",Unclassified,,
ocds-f5kvwu-2021_PWD_21111_1,Public Works Roads Department,"KAM/GRC/SOPD(G)/2020-21/72. Construction of Lenga Bhangrabari to Dekabari Road (From Ch.0.00m to Ch. 644.00 m) under SOPD-G for the year 2020-21,Jalukbari LAC",Online,Unclassified,Kamrup Metropolitan,
ocds-f5kvwu-2020_PWD_19326_1,Public Works Roads Department,"Re-construction of 1) Rangia-Dhamdhama Road to Telera village (0.68 Km), 2) Rangia-Dhamdhama Road to Tatipara (0.77 Km), under SOPD-G for the year 2020-21, Rangia LAC under North Kamrup Territorial Road Division, Rangia.NKTRD(R)/ SOPD(G)/ 2020-21/12",Online,Unclassified,Kamrup,
ocds-f5kvwu-2020_PWD_19164_1,Public Works Roads Department,KAM/GRC/SOPD(G)/ 2020-21/38,Online,Unclassified,,
ocds-f5kvwu-2021_WPTBC_21021_1,Welfare of Plain Tribes and Backward Classes,"Construction of SDWO Godown Building and Boundary Wall with Main Entrance gate at Dhanshiree, Golaghat","O/O Managing Director, ASDC for SC Ltd",Unclassified,Golaghat,
ocds-f5kvwu-2020_PWD_19220_1,Public Works Roads Department,"KAM/GRC/SOPD(G)/ 2020-21/49 Reconstruction of 6th Km of Rangia Darranga Road to Tarani (Length 2.30 Km.) under SOPD-G for the year 2020-21 under North Kamrup Territorial Road Division, Rangia.",Online,Unclassified,Kamrup,
